index,time,chainId,txhash,gasUsed,gasPrice,ethPrice,batchSize
3557,1704907397.068,1,0x99202a187f09c2561e03ae2350224a3db503fc35a959bb644ec1a32e827d9026,569455,16767061376,1.000,3
3558,1704907397.74,1,0xd936e2ec347fa6cecda7094686376b49a2642eb8a57869bb7e9899d610f7076a,347470,9785673210,1.000,1
3559,1704907398.428,1,0x034bc88db8e1d4a5c1e2bd10cd49e00e9b063b6c87f3e97beb83af29d0724bd9,347620,16983507321,1.000,1
3560,1704907399.126,1,0xe357e02f08e77c06b9e66fd507258fe3aaf98795f172a05fa4bb18b04c935780,807787,15040838717,1.000,5
3561,1704907400.037,1,0x5740e4002e1ae5ad44ef86f430f38915b716996ddddd3dcfa31ecf06f1003669,541180,24337717815,1.000,3
3562,1704907401.015,1,0xf87879e03e1f3b73dcd1887382d7f7c412218f6a21f9b8c73b6da3b94f4f3a8f,347740,29721957422,1.000,1
3563,1704907401.718,1,0x83b5fb3d5e2162e4b7f66c4d6e5d80b8e4fbf034af6418fbf5bec2d253cffac0,347668,44167648529,1.000,1
3564,1704907402.385,1,0x62a0ee273803d2835b68259222bb2682819726564a13edac994f6c240769429e,340820,32959501255,1.000,1
3565,1704907403.075,1,0x6ad84aa9cebbcd17a2b779d179b167afc2cc935b9af86376e60e79e2a5ae7bc9,323951,10734320091,1.000,1
3566,1704907403.775,1,0xa844e1575038b52e6cec58dfd300972cc92b40a87a6c7ba35350f542b6dff27c,1381486,13942777967,1.000,10
3567,1704907404.711,1,0xcfc1c2eded8f4e837d196eb573e9982265c6b49d6e6fd6d1869639b8066c1cae,441674,9842711678,1.000,2
3568,1704907405.395,1,0x614383a6d1f9b480b3e1cfec62f889b9c53b3c6fd0f63146680495ebb7a82694,340724,12418079924,1.000,1
3569,1704907406.295,1,0xb522b438d85c0dc7a3e8e6d6d8c12a49b79b7b0de6f80bb56628293343b810c4,347878,18293812816,1.000,1
3570,1704907407.004,1,0x45bb72bfa1cd77fc2906bab69826dd309bed6179b11b1bdd6d263070eed22dde,574243,7585439642,1.000,3
3571,1704907407.693,1,0x5ab32a177323fa56dd017b9f488db2a10aad2b2ab2cd4b301a51464ca04a53f1,323713,25972333932,1.000,1
3572,1704907408.385,1,0x49e177543460d22dae66dcdba12c1a04c1b8952f3ab9932bbb6e413517d8e25f,465879,27898645915,1.000,2
3573,1704907409.102,1,0x2999ec63cad2549d4eafe72c14567f9ed25c1c2cb1ea7c53ceafab2b4341342b,347668,18431936356,1.000,1
3574,1704907409.828,1,0x8f0e3fe67c1a6a2687d765b66f180a281ba9784ceff132b850b47b6518c2420a,465855,9353169251,1.000,2
3575,1704907410.892,1,0xbca06d0040b22bf149c73e3d46c45b4076ceb0c7cb66bef1c42b114393829130,949565,20843014676,1.000,6
3576,1704907411.59,1,0xb9447d1b7b54ee38a36caf7bc08ff55aa31a6d48aad48872ec261477cbb22e69,1104390,13460666460,1.000,8
3577,1704907412.451,1,0xdbda871a2603c0fa30fa8baee01c5c6e479a9143251dbfb5af973ee1ddc64e6c,347668,24020278941,1.000,1
3578,1704907413.369,1,0xb95334a7c55428bec6b9979b2a93436e66764f9f50a8998b9860ac4ee1169337,340820,42383272865,1.000,1
3579,1704907414.093,1,0x151d9810c0fcd7a6edc10928521c1b868c7d7e5fb7c6c2efd11d269c9dd16de2,323761,12652087267,1.000,1
3580,1704907414.978,1,0x7497982395391c4fb323dcc464c1502f8c5c84e0b562b8916e8231828129d5d3,347830,38719499064,1.000,1
3581,1704907415.653,1,0x5be2aab5cc19789452301e969f149a49409e6a030c2413455e8192b3ae037cb8,323437,6740191444,1.000,1
3582,1704907416.582,1,0x25f2c8ec86db59218e9d2e1d28cbb121ba6b9b7c9c19c1c4007ed72fd4cd13ca,340832,11504779113,1.000,1
3583,1704907417.469,1,0x432c510c6e09e53795fd9ee4b307ca3c500dec0599509a927f43bcda533917e5,441674,37561820763,1.000,2
3584,1704907418.165,1,0x2c670c87ccf267f2a81858cd03468e1bdfb36885561fe346ef87507bfe42b160,432518,53180010002,1.000,2
3585,1704907418.882,1,0xe5b0e552cc515bef0c57796e200ed7322a27b5b067d3f97aca07aa3b6d1692e7,1348262,28487427645,1.000,10
3586,1704907419.587,1,0x071a111d4936c272c4fb54d3e7b23d756984f66ea8ae407f04fe73b1decb821f,1109298,6636338474,1.000,8
3587,1704907420.351,1,0x7117a611b1fb3627e7c233bb62584e02f9df13f32772aaf14441a724c3d0f39f,1304361,54186937415,1.000,10
3588,1704907421.037,1,0x00522068e2e1e1eb6e577b1e9d74866f701c6d15707fc4cfc9086893a8d0ac06,340724,16258478293,1.000,1
3589,1704907421.736,1,0x96ac371005cb876590366b754fb80530fd10b75cefd6d3faa9f3aadf8d0ccbc4,323737,9471118158,1.000,1
3590,1704907422.418,1,0x5b6d6f5ce2fb01c38ccef2d15016945941fc870c2a5659b655c60fce41d2394d,605895,47425410320,1.000,3
